Pos;Team;P;HW;HD;HL;HF;HA;AW;AD;AL;AF;AA;GD;Pts;PPG
1;Man Utd;38;16;0;3;45;19;12;5;2;41;24;43;89;פוג.34
2;Man City;38;14;3;2;41;15;9;6;4;25;19;32;78;02.לאי
3;Chelsea;38;12;5;2;41;16;10;4;5;34;23;36;75;ÿםג.97
4;Arsenal;38;11;5;3;47;23;10;5;4;25;14;35;73;ÿםג.92
5;Tottenham;38;11;5;3;29;18;10;4;5;37;28;20;72;ÿםג.89
6;Everton;38;12;6;1;33;17;4;9;6;22;23;15;63;ÿםג.65
7;Liverpool;38;9;6;4;33;16;7;7;5;38;27;28;61;ÿםג.60
8;West Brom;38;9;4;6;32;25;5;3;11;21;32;-4;49;ÿםג.28
9;Swansea;38;6;8;5;28;26;5;5;9;19;25;-4;46;ÿםג.21
10;West Ham;38;9;6;4;34;22;3;4;12;11;31;-8;46;ÿםג.21
11;Norwich;38;8;7;4;25;20;2;7;10;16;38;-17;44;ÿםג.15
12;Fulham;38;7;3;9;28;30;4;7;8;22;30;-10;43;ÿםג.13
13;Stoke;38;7;7;5;21;22;2;8;9;13;23;-11;42;01.מךע
14;Southampton;38;6;7;6;26;24;3;7;9;23;36;-11;41;01.ט‏כ
15;Aston Villa;38;5;5;9;23;28;5;6;8;24;41;-22;41;01.ט‏כ
16;Newcastle;38;9;1;9;24;31;2;7;10;21;37;-23;41;01.ט‏כ
17;Sunderland;38;5;8;6;20;19;4;4;11;21;35;-13;39;01.פוג
18;Wigan;38;4;6;9;26;39;5;3;11;21;34;-26;36;0.94
19;Reading;38;4;8;7;23;33;2;2;15;20;40;-30;28;0.73
20;QPR;38;2;8;9;13;28;2;5;12;17;32;-30;25;0.65
